Date,Open,High,Low,Close,Adj Close,Volume
2000-07-20,53500.000000,53900.000000,51500.000000,52000.000000,39677.589844,230300
2000-07-21,52500.000000,52600.000000,50300.000000,51000.000000,38914.562500,344000
2000-07-24,49900.000000,50700.000000,48000.000000,48000.000000,36625.476563,240700
2000-07-25,47900.000000,49800.000000,46500.000000,48900.000000,37312.203125,299100
2000-07-26,48200.000000,49900.000000,47750.000000,48500.000000,37006.980469,264400
2000-07-27,48500.000000,49500.000000,47450.000000,49300.000000,37617.410156,136400
2000-07-28,48000.000000,49300.000000,46100.000000,48000.000000,36625.476563,230900
2000-07-31,47100.000000,49500.000000,46600.000000,49300.000000,37617.410156,116100
2000-08-01,48000.000000,50500.000000,48000.000000,50300.000000,38380.437500,187200
2000-08-02,49800.000000,51200.000000,49100.000000,50700.000000,38685.652344,150200
2000-08-03,51700.000000,51700.000000,49500.000000,49950.000000,38113.382813,145900
2000-08-04,49950.000000,50400.000000,49250.000000,49300.000000,37617.410156,139500
2000-08-07,49000.000000,49000.000000,47350.000000,48100.000000,36701.777344,108700
2000-08-08,48000.000000,49500.000000,48000.000000,48100.000000,36701.777344,263900
2000-08-09,49000.000000,52500.000000,48600.000000,52000.000000,39677.589844,403500
2000-08-10,52000.000000,54500.000000,51500.000000,54500.000000,41585.160156,514000
2000-08-11,53200.000000,55200.000000,52500.000000,54500.000000,41585.160156,307400
2000-08-14,55000.000000,56100.000000,54100.000000,54400.000000,41508.867188,188600
2000-08-15,54400.000000,54400.000000,54400.000000,54400.000000,41508.867188,0
2000-08-16,55800.000000,55800.000000,53500.000000,53500.000000,40822.148438,165800
2000-08-17,53000.000000,55500.000000,52800.000000,53800.000000,41051.039063,277300
2000-08-18,53800.000000,54600.000000,52500.000000,52600.000000,40135.414063,186800
2000-08-21,52600.000000,53400.000000,52100.000000,53000.000000,40440.625000,94000
2000-08-22,54000.000000,54800.000000,53600.000000,54700.000000,41737.773438,212400
2000-08-23,55000.000000,55100.000000,53600.000000,53800.000000,41051.039063,113100
2000-08-24,54400.000000,54500.000000,52300.000000,53700.000000,40974.738281,176900
2000-08-25,53400.000000,54000.000000,52700.000000,54000.000000,41203.652344,69200
2000-08-28,54700.000000,56000.000000,54000.000000,54000.000000,41203.652344,185800
2000-08-29,54500.000000,54500.000000,52800.000000,53400.000000,40745.828125,113000
2000-08-30,53000.000000,53000.000000,51500.000000,51500.000000,39296.070313,339200
2000-08-31,51000.000000,51100.000000,49300.000000,49500.000000,37770.023438,465700
2000-09-01,49100.000000,50400.000000,49100.000000,49400.000000,37693.718750,109400
2000-09-04,48600.000000,48950.000000,47950.000000,48600.000000,37083.285156,153800
2000-09-05,48000.000000,49600.000000,47300.000000,49600.000000,37846.316406,86400
2000-09-06,48700.000000,50100.000000,48600.000000,49000.000000,37388.500000,60700
2000-09-07,48000.000000,48600.000000,47300.000000,48000.000000,36625.476563,126700
2000-09-08,49300.000000,49500.000000,48100.000000,49000.000000,37388.500000,131800
2000-09-11,49000.000000,49000.000000,49000.000000,49000.000000,37388.500000,0
2000-09-12,49000.000000,49000.000000,49000.000000,49000.000000,37388.500000,0
2000-09-13,49000.000000,49000.000000,49000.000000,49000.000000,37388.500000,0
2000-09-14,48000.000000,49000.000000,46700.000000,49000.000000,37388.500000,268300
2000-09-15,48600.000000,49000.000000,46550.000000,47100.000000,35938.738281,189400
2000-09-18,45100.000000,45500.000000,40150.000000,44850.000000,34221.929688,280700
2000-09-19,42000.000000,44600.000000,41500.000000,43000.000000,32810.320313,376200
2000-09-20,44800.000000,44800.000000,43100.000000,44500.000000,33954.863281,232600
2000-09-21,43500.000000,44400.000000,41700.000000,44000.000000,33573.351563,135900
2000-09-22,42000.000000,43000.000000,39500.000000,39700.000000,30292.310547,285900
2000-09-25,39500.000000,41500.000000,39500.000000,41500.000000,31665.769531,274700
